26/10/2018 - 17:46:13 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.3667, paramA=27.5858, paramVg=0.0, paramVt=1.7637, paramVi=1.7609, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:14 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 14
26/10/2018 - 17:46:14 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.4167, paramA=27.5858, paramVg=0.0, paramVt=1.7484, paramVi=1.7455, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:15 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 14
26/10/2018 - 17:46:15 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.4833, paramA=27.5858, paramVg=0.0, paramVt=1.7355, paramVi=1.7328, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:15 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 15
26/10/2018 - 17:46:15 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.5333, paramA=27.5858, paramVg=0.0, paramVt=1.7176, paramVi=1.7147, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:16 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 15
26/10/2018 - 17:46:16 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.6, paramA=27.5858, paramVg=0.0, paramVt=1.6962, paramVi=1.6939, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:16 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 16
26/10/2018 - 17:46:16 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.6417, paramA=27.5858, paramVg=0.0, paramVt=1.6877, paramVi=1.6854, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:17 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 16
26/10/2018 - 17:46:17 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.6833, paramA=27.5858, paramVg=0.0, paramVt=1.6766, paramVi=1.6743, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:18 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 17
26/10/2018 - 17:46:18 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.7583, paramA=27.5858, paramVg=0.0, paramVt=1.6566, paramVi=1.6545, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:18 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 17
26/10/2018 - 17:46:18 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.8083, paramA=27.5858, paramVg=0.0, paramVt=1.6452, paramVi=1.6431, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.03, paramR=0.936}
26/10/2018 - 17:46:19 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 18
